Time(s),CH1V,CH2V,CH3V
-2.970000e-06,8.040000e-04,2.893562e-02,8.533333e-04
-2.959000e-06,8.040000e-04,3.021208e-02,6.773333e-04
-2.948000e-06,1.061333e-03,2.931413e-02,-1.920000e-04
-2.937000e-06,6.746667e-04,2.983760e-02,8.080000e-04
-2.926000e-06,6.746667e-04,2.931413e-02,2.666667e-05
-2.915000e-06,6.320000e-04,3.006309e-02,1.026667e-03
-2.904000e-06,3.733333e-04,2.983760e-02,2.880000e-04
-2.893000e-06,7.173333e-04,2.976109e-02,1.461333e-03
-2.882000e-06,9.333334e-04,2.871416e-02,2.426667e-04
-2.871000e-06,3.306667e-04,2.961211e-02,9.840000e-04
-2.860000e-06,1.018667e-03,2.931413e-02,2.880000e-04
-2.849000e-06,5.893334e-04,3.066306e-02,1.330667e-03
-2.838000e-06,3.733333e-04,2.946312e-02,5.466667e-04
-2.827000e-06,3.733333e-04,3.043757e-02,5.920000e-04
-2.816000e-06,9.760000e-04,2.991411e-02,1.069333e-03
-2.805000e-06,8.040000e-04,2.953560e-02,1.026667e-03
-2.794000e-06,1.061333e-03,2.908864e-02,3.306667e-04
-2.783000e-06,3.733333e-04,3.006309e-02,1.200000e-03
-2.772000e-06,6.746667e-04,2.991411e-02,3.733333e-04
-2.761000e-06,3.306667e-04,2.983760e-02,1.330667e-03
-2.750000e-06,8.466667e-04,2.946312e-02,4.613333e-04
-2.739000e-06,5.026667e-04,3.006309e-02,9.840000e-04
-2.728000e-06,7.613333e-04,2.983760e-02,8.080000e-04
-2.717000e-06,9.333334e-04,2.976109e-02,8.960000e-04
-2.706000e-06,9.760000e-04,2.908864e-02,1.200000e-03
-2.695000e-06,5.453333e-04,2.953560e-02,5.920000e-04
-2.684000e-06,1.061333e-03,2.886315e-02,2.880000e-04
-2.673000e-06,5.026667e-04,2.938661e-02,1.112000e-03
-2.662000e-06,8.040000e-04,2.856115e-02,6.773333e-04
-2.651000e-06,9.333334e-04,2.991411e-02,1.242667e-03
-2.640000e-06,1.061333e-03,2.983760e-02,2.880000e-04
-2.629000e-06,3.733333e-04,2.991411e-02,5.920000e-04
-2.618000e-06,6.320000e-04,2.893562e-02,5.920000e-04
-2.607000e-06,-1.333333e-05,3.006309e-02,1.112000e-03
-2.596000e-06,8.466667e-04,2.961211e-02,6.773333e-04
-2.585000e-06,4.160000e-04,2.983760e-02,8.080000e-04
-2.574000e-06,8.893333e-04,2.946312e-02,-1.040000e-04
-2.563000e-06,6.746667e-04,3.051408e-02,8.080000e-04
-2.552000e-06,8.893333e-04,2.983760e-02,6.773333e-04
-2.541000e-06,7.613333e-04,2.998658e-02,5.466667e-04
-2.530000e-06,5.893334e-04,2.953560e-02,5.920000e-04
-2.519000e-06,5.453333e-04,3.021208e-02,5.920000e-04
-2.508000e-06,8.466667e-04,2.991411e-02,8.080000e-04
-2.497000e-06,9.333334e-04,2.923762e-02,6.773333e-04
-2.486000e-06,6.746667e-04,2.863765e-02,4.613333e-04
-2.475000e-06,3.733333e-04,3.021208e-02,1.330667e-03
-2.464000e-06,6.320000e-04,3.013557e-02,6.346666e-04
-2.453000e-06,3.306667e-04,2.953560e-02,2.426667e-04
-2.442000e-06,6.746667e-04,2.916112e-02,6.773333e-04
-2.431000e-06,6.746667e-04,3.028858e-02,8.960000e-04
-2.420000e-06,9.333334e-04,2.938661e-02,8.533333e-04
-2.409000e-06,1.061333e-03,2.916112e-02,1.200000e-03
-2.398000e-06,7.613333e-04,3.006309e-02,9.386666e-04
-2.387000e-06,1.160000e-04,3.126304e-02,1.592000e-03
-2.376000e-06,8.466667e-04,2.931413e-02,5.040000e-04
-2.365000e-06,7.173333e-04,2.968861e-02,1.112000e-03
-2.354000e-06,4.600000e-04,2.946312e-02,8.080000e-04
-2.343000e-06,3.306667e-04,3.051408e-02,1.112000e-03
-2.332000e-06,2.440000e-04,3.028858e-02,4.613333e-04
-2.321000e-06,4.160000e-04,2.998658e-02,9.386666e-04
-2.310000e-06,7.173333e-04,2.923762e-02,2.426667e-04
-2.299000e-06,5.026667e-04,2.983760e-02,6.773333e-04
-2.288000e-06,1.586667e-04,3.006309e-02,7.653334e-04
-2.277000e-06,8.466667e-04,2.908864e-02,7.653334e-04
-2.266000e-06,7.613333e-04,2.871416e-02,2.426667e-04
-2.255000e-06,8.466667e-04,2.998658e-02,9.386666e-04
-2.244000e-06,8.893333e-04,2.991411e-02,5.040000e-04
-2.233000e-06,3.306667e-04,2.991411e-02,8.080000e-04
-2.222000e-06,4.160000e-04,2.901213e-02,7.653334e-04
-2.211000e-06,1.061333e-03,2.961211e-02,1.242667e-03
-2.200000e-06,1.061333e-03,2.968861e-02,5.466667e-04
-2.189000e-06,6.320000e-04,2.976109e-02,1.330667e-03
-2.178000e-06,5.893334e-04,2.893562e-02,1.026667e-03
-2.167000e-06,8.893333e-04,3.021208e-02,1.112000e-03
-2.156000e-06,8.466667e-04,3.006309e-02,6.933333e-05
-2.145000e-06,2.880000e-04,2.953560e-02,6.346666e-04
-2.134000e-06,5.893334e-04,2.916112e-02,8.960000e-04
-2.123000e-06,4.600000e-04,2.983760e-02,7.226667e-04
-2.112000e-06,3.306667e-04,2.998658e-02,-6.133333e-05
-2.101000e-06,5.453333e-04,2.916112e-02,6.773333e-04
-2.090000e-06,9.333334e-04,2.878664e-02,8.080000e-04
-2.079000e-06,6.746667e-04,2.998658e-02,8.080000e-04
-2.068000e-06,8.466667e-04,2.983760e-02,8.080000e-04
-2.057000e-06,4.600000e-04,2.916112e-02,9.840000e-04
-2.046000e-06,8.893333e-04,2.803768e-02,1.573333e-04
-2.035000e-06,4.600000e-04,2.991411e-02,1.157333e-03
-2.024000e-06,8.893333e-04,2.946312e-02,6.933333e-05
-2.013000e-06,4.160000e-04,2.878664e-02,7.226667e-04
-2.002000e-06,5.453333e-04,2.901213e-02,5.466667e-04
-1.991000e-06,5.893334e-04,2.931413e-02,7.226667e-04
-1.980000e-06,7.173333e-04,2.946312e-02,6.773333e-04
-1.969000e-06,4.160000e-04,2.983760e-02,9.386666e-04
-1.958000e-06,2.440000e-04,2.841216e-02,3.733333e-04
-1.947000e-06,-5.600000e-05,3.021208e-02,1.461333e-03
-1.936000e-06,5.893334e-04,2.983760e-02,4.613333e-04
-1.925000e-06,4.600000e-04,2.953560e-02,1.200000e-03
-1.914000e-06,1.190667e-03,2.848866e-02,6.773333e-04
-1.903000e-06,6.746667e-04,2.998658e-02,6.773333e-04
-1.892000e-06,9.760000e-04,2.908864e-02,4.613333e-04
-1.881000e-06,5.893334e-04,2.946312e-02,4.160000e-04
-1.870000e-06,8.893333e-04,2.908864e-02,1.573333e-04
-1.859000e-06,3.306667e-04,2.946312e-02,4.613333e-04
-1.848000e-06,6.320000e-04,2.953560e-02,5.920000e-04
-1.837000e-06,5.026667e-04,2.901213e-02,5.466667e-04
-1.826000e-06,6.320000e-04,2.878664e-02,7.226667e-04
-1.815000e-06,2.880000e-04,3.043757e-02,7.653334e-04
-1.804000e-06,5.026667e-04,2.998658e-02,8.080000e-04
-1.793000e-06,4.600000e-04,3.051408e-02,2.000000e-04
-1.782000e-06,7.613333e-04,2.953560e-02,1.573333e-04
-1.771000e-06,6.320000e-04,2.991411e-02,8.960000e-04
-1.760000e-06,8.893333e-04,2.983760e-02,4.613333e-04
-1.749000e-06,2.013333e-04,2.931413e-02,1.242667e-03
-1.738000e-06,7.613333e-04,2.856115e-02,8.080000e-04
-1.727000e-06,2.880000e-04,3.006309e-02,1.330667e-03
-1.716000e-06,5.026667e-04,2.953560e-02,1.418667e-03
-1.705000e-06,3.733333e-04,2.998658e-02,1.026667e-03
-1.694000e-06,9.333334e-04,2.938661e-02,4.613333e-04
-1.683000e-06,5.893334e-04,3.028858e-02,1.026667e-03
-1.672000e-06,1.234667e-03,2.953560e-02,9.386666e-04
-1.661000e-06,2.440000e-04,2.983760e-02,1.026667e-03
-1.650000e-06,8.893333e-04,2.916112e-02,1.461333e-03
-1.639000e-06,9.333334e-04,3.013557e-02,1.112000e-03
-1.628000e-06,4.600000e-04,3.006309e-02,-1.866667e-05
-1.617000e-06,5.026667e-04,2.998658e-02,1.112000e-03
-1.606000e-06,6.320000e-04,2.848866e-02,7.653334e-04
-1.595000e-06,1.586667e-04,3.006309e-02,4.613333e-04
-1.584000e-06,8.040000e-04,3.006309e-02,-1.493333e-04
-1.573000e-06,2.440000e-04,2.953560e-02,5.920000e-04
-1.562000e-06,6.746667e-04,2.916112e-02,1.112000e-03
-1.551000e-06,6.320000e-04,2.968861e-02,5.920000e-04
-1.540000e-06,5.453333e-04,2.968861e-02,8.960000e-04
-1.529000e-06,5.893334e-04,2.908864e-02,-1.866667e-05
-1.518000e-06,4.600000e-04,2.908864e-02,5.920000e-04
-1.507000e-06,5.453333e-04,3.006309e-02,7.653334e-04
-1.496000e-06,8.040000e-04,3.006309e-02,5.920000e-04
-1.485000e-06,4.600000e-04,2.946312e-02,8.960000e-04
-1.474000e-06,9.760000e-04,2.916112e-02,9.386666e-04
-1.463000e-06,5.893334e-04,2.946312e-02,6.933333e-05
-1.452000e-06,8.040000e-04,3.021208e-02,2.426667e-04
-1.441000e-06,4.600000e-04,2.953560e-02,9.840000e-04
-1.430000e-06,6.746667e-04,3.036106e-02,1.200000e-03
-1.419000e-06,6.320000e-04,3.073554e-02,5.920000e-04
-1.408000e-06,7.173333e-04,2.983760e-02,6.773333e-04
-1.397000e-06,6.746667e-04,2.968861e-02,5.040000e-04
-1.386000e-06,8.040000e-04,2.901213e-02,4.160000e-04
-1.375000e-06,5.026667e-04,2.968861e-02,1.288000e-03
-1.364000e-06,8.466667e-04,3.096104e-02,9.840000e-04
-1.353000e-06,9.333334e-04,3.066306e-02,6.346666e-04
-1.342000e-06,1.105333e-03,2.878664e-02,1.157333e-03
