Time(s),CH1V,CH2V,CH3V
-9.800000e-07,-1.613333e-03,2.608154e-02,5.973333e-03
-9.700000e-07,-2.040000e-03,2.584790e-02,-3.520000e-03
-9.600000e-07,-3.106667e-03,2.551632e-02,-1.146667e-03
-9.500000e-07,-2.680000e-03,2.567208e-02,2.186667e-03
-9.400000e-07,-4.600000e-03,2.594466e-02,3.120000e-03
-9.300000e-07,-2.680000e-03,2.539950e-02,-1.824000e-02
-9.200000e-07,-4.386667e-03,2.592578e-02,2.640000e-03
-9.100000e-07,-1.826667e-03,2.590572e-02,-4.480000e-03
-9.000000e-07,-3.320000e-03,2.547738e-02,-3.520000e-03
-8.900000e-07,-2.680000e-03,2.582784e-02,-2.106667e-03
-8.800000e-07,-3.960000e-03,2.612048e-02,-1.146667e-03
-8.700000e-07,-2.253333e-03,2.565202e-02,-4.480000e-03
-8.600000e-07,-4.600000e-03,2.590572e-02,-7.786667e-03
-8.500000e-07,-9.733333e-04,2.547738e-02,-3.520000e-03
-8.400000e-07,-3.960000e-03,2.637418e-02,-4.480000e-03
-8.300000e-07,-9.733333e-04,2.547738e-02,-6.666667e-04
-8.200000e-07,-3.320000e-03,2.561308e-02,-6.853333e-03
-8.100000e-07,-2.040000e-03,2.592578e-02,-2.106667e-03
-8.000000e-07,-4.600000e-03,2.571102e-02,-2.586667e-03
-7.900000e-07,-2.040000e-03,2.584790e-02,-1.208000e-02
-7.800000e-07,-5.453333e-03,2.594466e-02,-3.040000e-03
-7.700000e-07,-2.253333e-03,2.584790e-02,-3.040000e-03
-7.600000e-07,-4.600000e-03,2.594466e-02,3.600000e-03
-7.500000e-07,-1.186667e-03,2.577002e-02,-2.106667e-03
-7.400000e-07,-4.173333e-03,2.561308e-02,-2.106667e-03
-7.300000e-07,-1.186667e-03,2.584790e-02,-3.520000e-03
-7.200000e-07,-5.453333e-03,2.551632e-02,5.493333e-03
-7.100000e-07,-1.186667e-03,2.602254e-02,-9.706667e-03
-7.000000e-07,-2.893333e-03,2.543844e-02,-1.626667e-03
-6.900000e-07,-2.680000e-03,2.590572e-02,-4.000000e-03
-6.800000e-07,-5.240000e-03,2.571102e-02,-2.106667e-03
-6.700000e-07,-2.040000e-03,2.613936e-02,-3.520000e-03
-6.600000e-07,-4.386667e-03,2.561308e-02,2.640000e-03
-6.500000e-07,-2.893333e-03,2.574996e-02,-4.480000e-03
-6.400000e-07,-4.600000e-03,2.594466e-02,-4.000000e-03
-6.300000e-07,-3.106667e-03,2.584790e-02,-9.706667e-03
-6.200000e-07,-3.533333e-03,2.569096e-02,-2.586667e-03
-6.100000e-07,-1.826667e-03,2.565202e-02,-1.112000e-02
-6.000000e-07,-5.026666e-03,2.590572e-02,-6.373333e-03
-5.900000e-07,-2.040000e-03,2.549626e-02,-9.226667e-03
-5.800000e-07,-4.600000e-03,2.536056e-02,-1.397333e-02
-5.700000e-07,-3.533333e-03,2.596472e-02,-6.666667e-04
-5.600000e-07,-3.960000e-03,2.530156e-02,-1.626667e-03
-5.500000e-07,-1.826667e-03,2.586678e-02,-1.445333e-02
-5.400000e-07,-4.813334e-03,2.578890e-02,-1.626667e-03
-5.300000e-07,-9.733333e-04,2.567208e-02,2.666667e-04
-5.200000e-07,-3.960000e-03,2.613936e-02,2.640000e-03
-5.100000e-07,-1.826667e-03,2.573108e-02,-4.480000e-03
-5.000000e-07,-4.600000e-03,2.613936e-02,-6.666667e-04
-4.900000e-07,-2.680000e-03,2.623730e-02,-6.373333e-03
-4.800000e-07,-4.386667e-03,2.545732e-02,-3.040000e-03
-4.700000e-07,-2.253333e-03,2.565202e-02,-6.853333e-03
-4.600000e-07,-4.386667e-03,2.590572e-02,-4.000000e-03
-4.500000e-07,-2.253333e-03,2.555526e-02,-8.746667e-03
-4.400000e-07,-4.813334e-03,2.534050e-02,-5.413333e-03
-4.300000e-07,-1.400000e-03,2.563314e-02,-6.853333e-03
-4.200000e-07,-4.600000e-03,2.563314e-02,-6.666667e-04
-4.100000e-07,-2.253333e-03,2.561308e-02,-9.706667e-03
-4.000000e-07,-4.386667e-03,2.543844e-02,7.466667e-04
-3.900000e-07,-1.613333e-03,2.567208e-02,-1.112000e-02
-3.800000e-07,-4.600000e-03,2.686034e-02,-3.520000e-03
-3.700000e-07,-2.040000e-03,2.567208e-02,-9.226667e-03
-3.600000e-07,-4.813334e-03,2.590572e-02,-3.520000e-03
-3.500000e-07,-1.613333e-03,2.574996e-02,-2.106667e-03
-3.400000e-07,-5.666667e-03,2.613936e-02,1.226667e-03
-3.300000e-07,-2.466667e-03,2.534050e-02,-3.520000e-03
-3.200000e-07,-4.813334e-03,2.567208e-02,7.466667e-04
-3.100000e-07,-2.040000e-03,2.520480e-02,-2.106667e-03
-3.000000e-07,-4.386667e-03,2.649100e-02,-2.106667e-03
-2.900000e-07,-1.826667e-03,2.551632e-02,-5.413333e-03
-2.800000e-07,-5.026666e-03,2.592578e-02,-3.040000e-03
-2.700000e-07,-1.613333e-03,2.623730e-02,-1.586667e-02
-2.600000e-07,-4.600000e-03,2.596472e-02,-3.040000e-03
-2.500000e-07,-3.960000e-03,2.617830e-02,-7.333333e-03
-2.400000e-07,-4.600000e-03,2.610042e-02,-6.373333e-03
-2.300000e-07,-1.613333e-03,2.602254e-02,-1.064000e-02
-2.200000e-07,-6.306667e-03,2.561308e-02,3.120000e-03
-2.100000e-07,-2.893333e-03,2.635412e-02,-7.333333e-03
-2.000000e-07,-4.173333e-03,2.578890e-02,-5.413333e-03
-1.900000e-07,-1.613333e-03,2.563314e-02,-7.786667e-03
-1.800000e-07,-4.386667e-03,2.555526e-02,-5.893333e-03
-1.700000e-07,-2.253333e-03,2.580896e-02,-8.266667e-03
-1.600000e-07,-3.960000e-03,2.567208e-02,-9.226667e-03
-1.500000e-07,-1.186667e-03,2.600366e-02,-2.106667e-03
-1.400000e-07,-4.813334e-03,2.536056e-02,-1.018667e-02
-1.300000e-07,-3.106667e-03,2.537944e-02,-1.208000e-02
-1.200000e-07,-4.386667e-03,2.594466e-02,-6.853333e-03
-1.100000e-07,-1.186667e-03,2.569096e-02,-9.706667e-03
-1.000000e-07,-4.173333e-03,2.577002e-02,4.560000e-03
-9.000000e-08,-2.680000e-03,2.615942e-02,-1.018667e-02
-8.000000e-08,-4.386667e-03,2.549626e-02,-6.666667e-04
-7.000000e-08,-1.400000e-03,2.586678e-02,-1.018667e-02
-6.000000e-08,-3.960000e-03,2.555526e-02,-4.000000e-03
-5.000000e-08,-1.826667e-03,2.557414e-02,-3.040000e-03
-4.000000e-08,-4.600000e-03,2.594466e-02,-5.893333e-03
-3.000000e-08,-4.813334e-03,2.604260e-02,-3.520000e-03
-2.000000e-08,-4.600000e-03,2.551632e-02,-2.106667e-03
-1.000000e-08,-3.533333e-03,2.621724e-02,-8.266667e-03
6.981404e-22,-4.386667e-03,2.598360e-02,-6.666667e-04
1.000000e-08,-1.200000e-04,2.629512e-02,-2.586667e-03
2.000000e-08,-2.893333e-03,2.602254e-02,-4.480000e-03
3.000000e-08,-2.893333e-03,2.584790e-02,-1.146667e-03
4.000000e-08,-3.106667e-03,2.660782e-02,2.666667e-04
5.000000e-08,-1.186667e-03,2.610042e-02,-9.706667e-03
6.000000e-08,-3.533333e-03,2.588684e-02,4.080000e-03
7.000000e-08,-1.186667e-03,2.670458e-02,-3.520000e-03
8.000000e-08,-4.173333e-03,2.619836e-02,-3.520000e-03
9.000000e-08,9.333334e-05,2.598360e-02,-9.226667e-03
1.000000e-07,-4.600000e-03,2.530156e-02,-1.866667e-04
1.100000e-07,-1.400000e-03,2.458058e-02,-5.893333e-03
1.200000e-07,-3.960000e-03,2.483428e-02,-5.893333e-03
1.300000e-07,-2.253333e-03,2.442482e-02,-6.853333e-03
1.400000e-07,-3.106667e-03,2.502898e-02,1.072000e-02
1.500000e-07,-2.466667e-03,2.475640e-02,-1.160000e-02
1.600000e-07,-5.026666e-03,2.442482e-02,1.226667e-03
1.700000e-07,-3.533333e-03,2.510686e-02,-9.226667e-03
1.800000e-07,-5.026666e-03,2.461952e-02,-3.040000e-03
1.900000e-07,-2.466667e-03,2.479534e-02,-5.893333e-03
2.000000e-07,-4.386667e-03,2.465846e-02,7.466667e-04
2.100000e-07,-2.253333e-03,2.496998e-02,-5.893333e-03
2.200000e-07,-4.386667e-03,2.456170e-02,6.933333e-03
2.300000e-07,-2.893333e-03,2.469740e-02,-1.208000e-02
2.400000e-07,-3.746667e-03,2.545732e-02,-1.146667e-03
2.500000e-07,-1.186667e-03,2.491216e-02,2.666667e-04
2.600000e-07,-5.453333e-03,2.411330e-02,7.466667e-04
2.700000e-07,-5.466667e-04,2.563314e-02,-1.301333e-02
2.800000e-07,-3.960000e-03,2.460064e-02,-2.106667e-03
2.900000e-07,-1.826667e-03,2.475640e-02,-3.040000e-03
3.000000e-07,-5.453333e-03,2.471746e-02,-5.413333e-03
3.100000e-07,-2.680000e-03,2.534050e-02,-9.226667e-03
3.200000e-07,-5.026666e-03,2.508798e-02,1.226667e-03
3.300000e-07,-2.040000e-03,2.551632e-02,-9.706667e-03
3.400000e-07,-4.600000e-03,2.502898e-02,-4.000000e-03
3.500000e-07,-1.826667e-03,2.499004e-02,-1.018667e-02
