Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,50000,,Record Length,50000,,Record Length,50000
Zero Index,4499.77734375,,Zero Index,4499.77734375,,Zero Index,4499.77734375
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-1.79991094e-07,1.71875000e-04,2.03818750e-02,6.48437500e-05
-1.79951094e-07,3.62500000e-04,2.03525000e-02,1.34375000e-04
-1.79911094e-07,4.35937500e-04,2.02193750e-02,1.85937500e-04
-1.79871094e-07,3.43750000e-04,2.00487500e-02,2.02343750e-04
-1.79831094e-07,1.60937500e-04,1.99368750e-02,1.74218750e-04
-1.79791094e-07,2.50000000e-05,1.99431250e-02,1.09375000e-04
-1.79751094e-07,4.06250000e-05,2.00518750e-02,2.81250000e-05
-1.79711094e-07,2.07812500e-04,2.01837500e-02,-4.06250000e-05
-1.79671094e-07,4.37500000e-04,2.02581250e-02,-7.65625000e-05
-1.79631094e-07,6.18750000e-04,2.02487500e-02,-7.81250000e-05
-1.79591094e-07,6.92187500e-04,2.01962500e-02,-6.17187500e-05
-1.79551094e-07,6.73437500e-04,2.01637500e-02,-4.37500000e-05
-1.79511094e-07,6.18750000e-04,2.01831250e-02,-2.96875000e-05
-1.79471094e-07,5.84375000e-04,2.02312500e-02,-3.90625000e-06
-1.79431094e-07,5.87500000e-04,2.02618750e-02,5.39062500e-05
-1.79391094e-07,6.10937500e-04,2.02525000e-02,1.44531250e-04
-1.79351094e-07,6.35937500e-04,2.02262500e-02,2.35156250e-04
-1.79311094e-07,6.48437500e-04,2.02231250e-02,2.72656250e-04
-1.79271094e-07,6.46875000e-04,2.02543750e-02,2.17968750e-04
-1.79231094e-07,6.21875000e-04,2.02856250e-02,8.20312500e-05
-1.79191094e-07,5.59375000e-04,2.02650000e-02,-7.10937500e-05
-1.79151094e-07,4.62500000e-04,2.01831250e-02,-1.57812500e-04
-1.79111094e-07,3.65625000e-04,2.00900000e-02,-1.29687500e-04
-1.79071094e-07,3.26562500e-04,2.00612500e-02,-4.68750000e-06
-1.79031094e-07,3.82812500e-04,2.01287500e-02,1.39062500e-04
-1.78991094e-07,5.18750000e-04,2.02437500e-02,2.15625000e-04
-1.78951094e-07,6.59375000e-04,2.03100000e-02,1.84375000e-04
-1.78911094e-07,7.20312500e-04,2.02662500e-02,7.57812500e-05
-1.78871094e-07,6.71875000e-04,2.01418750e-02,-3.35937500e-05
-1.78831094e-07,5.64062500e-04,2.00437500e-02,-7.10937500e-05
-1.78791094e-07,4.95312500e-04,2.00643750e-02,-1.64062500e-05
-1.78751094e-07,5.31250000e-04,2.02062500e-02,8.82812500e-05
-1.78711094e-07,6.48437500e-04,2.03668750e-02,1.71093750e-04
-1.78671094e-07,7.45312500e-04,2.04206250e-02,1.75000000e-04
-1.78631094e-07,7.17187500e-04,2.03125000e-02,1.00781250e-04
-1.78591094e-07,5.51562500e-04,2.01075000e-02,-5.46875000e-06
-1.78551094e-07,3.43750000e-04,1.99387500e-02,-7.81250000e-05
-1.78511094e-07,2.25000000e-04,1.99075000e-02,-8.35937500e-05
-1.78471094e-07,2.60937500e-04,2.00112500e-02,-3.51562500e-05
-1.78431094e-07,3.98437500e-04,2.01562500e-02,2.03125000e-05
-1.78391094e-07,5.12500000e-04,2.02343750e-02,3.98437500e-05
-1.78351094e-07,5.07812500e-04,2.02062500e-02,1.71875000e-05
-1.78311094e-07,4.07812500e-04,2.01193750e-02,-1.32812500e-05
-1.78271094e-07,3.29687500e-04,2.00606250e-02,-8.59375000e-06
-1.78231094e-07,3.89062500e-04,2.00875000e-02,5.07812500e-05
-1.78191094e-07,5.92187500e-04,2.01868750e-02,1.38281250e-04
-1.78151094e-07,8.21875000e-04,2.02925000e-02,1.95312500e-04
-1.78111094e-07,9.26562500e-04,2.03393750e-02,1.72656250e-04
-1.78071094e-07,8.32812500e-04,2.03056250e-02,6.64062500e-05
-1.78031094e-07,6.07812500e-04,2.02193750e-02,-7.26562500e-05
-1.77991094e-07,4.03125000e-04,2.01356250e-02,-1.72656250e-04
-1.77951094e-07,3.46875000e-04,2.00993750e-02,-1.82031250e-04
-1.77911094e-07,4.56250000e-04,2.01243750e-02,-1.07031250e-04
-1.77871094e-07,6.37500000e-04,2.01968750e-02,-3.12500000e-06
-1.77831094e-07,7.57812500e-04,2.02856250e-02,6.09375000e-05
-1.77791094e-07,7.34375000e-04,2.03593750e-02,5.00000000e-05
-1.77751094e-07,5.82812500e-04,2.03912500e-02,-2.10937500e-05
-1.77711094e-07,3.82812500e-04,2.03693750e-02,-1.00781250e-04
-1.77671094e-07,2.25000000e-04,2.02962500e-02,-1.34375000e-04
-1.77631094e-07,1.65625000e-04,2.01931250e-02,-1.00000000e-04
-1.77591094e-07,2.07812500e-04,2.00950000e-02,-1.40625000e-05
-1.77551094e-07,3.21875000e-04,2.00406250e-02,7.96875000e-05
-1.77511094e-07,4.53125000e-04,2.00525000e-02,1.38281250e-04
-1.77471094e-07,5.45312500e-04,2.01218750e-02,1.34375000e-04
-1.77431094e-07,5.46875000e-04,2.02031250e-02,7.34375000e-05
-1.77391094e-07,4.34375000e-04,2.02393750e-02,-1.64062500e-05
-1.77351094e-07,2.26562500e-04,2.01931250e-02,-9.53125000e-05
-1.77311094e-07,-1.25000000e-05,2.00768750e-02,-1.31250000e-04
-1.77271094e-07,-1.93750000e-04,1.99550000e-02,-1.16406250e-04
-1.77231094e-07,-2.46875000e-04,1.99056250e-02,-7.26562500e-05
-1.77191094e-07,-1.53125000e-04,1.99693750e-02,-3.20312500e-05
-1.77151094e-07,5.62500000e-05,2.01131250e-02,-1.32812500e-05
-1.77111094e-07,3.25000000e-04,2.02487500e-02,-9.37500000e-06
-1.77071094e-07,6.01562500e-04,2.02868750e-02,6.25000000e-06
-1.77031094e-07,8.53125000e-04,2.02050000e-02,5.70312500e-05
-1.76991094e-07,1.05468750e-03,2.00681250e-02,1.42968750e-04
-1.76951094e-07,1.17500000e-03,1.99843750e-02,2.40625000e-04
-1.76911094e-07,1.17968750e-03,2.00281250e-02,3.21093750e-04
-1.76871094e-07,1.05625000e-03,2.01850000e-02,3.66406250e-04
-1.76831094e-07,8.28125000e-04,2.03575000e-02,3.72656250e-04
-1.76791094e-07,5.71875000e-04,2.04368750e-02,3.41406250e-04
-1.76751094e-07,3.67187500e-04,2.03775000e-02,2.68750000e-04
-1.76711094e-07,2.59375000e-04,2.02256250e-02,1.57812500e-04
-1.76671094e-07,2.37500000e-04,2.00818750e-02,3.12500000e-05
-1.76631094e-07,2.51562500e-04,2.00262500e-02,-6.17187500e-05
-1.76591094e-07,2.53125000e-04,2.00675000e-02,-7.10937500e-05
-1.76551094e-07,2.34375000e-04,2.01512500e-02,1.79687500e-05
-1.76511094e-07,2.25000000e-04,2.02112500e-02,1.59375000e-04
-1.76471094e-07,2.71875000e-04,2.02237500e-02,2.70312500e-04
-1.76431094e-07,3.87500000e-04,2.02125000e-02,2.83593750e-04
-1.76391094e-07,5.42187500e-04,2.02187500e-02,2.00000000e-04
-1.76351094e-07,6.67187500e-04,2.02581250e-02,8.75000000e-05
-1.76311094e-07,6.90625000e-04,2.03093750e-02,3.43750000e-05
-1.76271094e-07,5.79687500e-04,2.03381250e-02,7.81250000e-05
-1.76231094e-07,3.62500000e-04,2.03318750e-02,1.82031250e-04
-1.76191094e-07,1.28125000e-04,2.03081250e-02,2.59375000e-04
-1.76151094e-07,-2.03125000e-05,2.02918750e-02,2.45312500e-04
-1.76111094e-07,-1.09375000e-05,2.02831250e-02,1.43750000e-04
-1.76071094e-07,1.39062500e-04,2.02550000e-02,1.79687500e-05
-1.76031094e-07,3.32812500e-04,2.01793750e-02,-6.25000000e-05
-1.75991094e-07,4.46875000e-04,2.00687500e-02,-7.50000000e-05
-1.75951094e-07,4.21875000e-04,1.99806250e-02,-5.70312500e-05
-1.75911094e-07,3.00000000e-04,1.99850000e-02,-6.32812500e-05
-1.75871094e-07,2.09375000e-04,2.01025000e-02,-1.17187500e-04
-1.75831094e-07,2.62500000e-04,2.02825000e-02,-1.86718750e-04
-1.75791094e-07,4.79687500e-04,2.04268750e-02,-2.13281250e-04
-1.75751094e-07,7.59375000e-04,2.04575000e-02,-1.59375000e-04
-1.75711094e-07,9.48437500e-04,2.03700000e-02,-4.21875000e-05
-1.75671094e-07,9.57812500e-04,2.02375000e-02,8.20312500e-05
-1.75631094e-07,8.14062500e-04,2.01537500e-02,1.51562500e-04
-1.75591094e-07,6.32812500e-04,2.01681250e-02,1.41406250e-04
-1.75551094e-07,5.31250000e-04,2.02556250e-02,6.79687500e-05
-1.75511094e-07,5.45312500e-04,2.03375000e-02,-2.81250000e-05
-1.75471094e-07,6.15625000e-04,2.03487500e-02,-1.11718750e-04
-1.75431094e-07,6.60937500e-04,2.02800000e-02,-1.74218750e-04
-1.75391094e-07,6.37500000e-04,2.01818750e-02,-2.21875000e-04
-1.75351094e-07,5.79687500e-04,2.01237500e-02,-2.66406250e-04
-1.75311094e-07,5.50000000e-04,2.01387500e-02,-3.00000000e-04
-1.75271094e-07,5.78125000e-04,2.02068750e-02,-3.02343750e-04
