Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,2500
Zero Index,249.84765625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-9.99390625e-09,4.64843750e-05
-9.95390625e-09,7.70312500e-05
-9.91390625e-09,1.77968750e-04
-9.87390625e-09,2.97500000e-04
-9.83390625e-09,3.89140625e-04
-9.79390625e-09,4.28984375e-04
-9.75390625e-09,4.13046875e-04
-9.71390625e-09,3.58593750e-04
-9.67390625e-09,2.92187500e-04
-9.63390625e-09,2.45703125e-04
-9.59390625e-09,2.45703125e-04
-9.55390625e-09,2.86875000e-04
-9.51390625e-09,3.30703125e-04
-9.47390625e-09,3.30703125e-04
-9.43390625e-09,2.66953125e-04
-9.39390625e-09,1.73984375e-04
-9.35390625e-09,1.19531250e-04
-9.31390625e-09,1.48750000e-04
-9.27390625e-09,2.41718750e-04
-9.23390625e-09,3.26718750e-04
-9.19390625e-09,3.29375000e-04
-9.15390625e-09,2.44375000e-04
-9.11390625e-09,1.38125000e-04
-9.07390625e-09,9.96093750e-05
-9.03390625e-09,1.64687500e-04
-8.99390625e-09,2.92187500e-04
-8.95390625e-09,3.97109375e-04
-8.91390625e-09,4.18359375e-04
-8.87390625e-09,3.70546875e-04
-8.83390625e-09,3.12109375e-04
-8.79390625e-09,3.02812500e-04
-8.75390625e-09,3.40000000e-04
-8.71390625e-09,3.82500000e-04
-8.67390625e-09,3.85156250e-04
-8.63390625e-09,3.47968750e-04
-8.59390625e-09,3.05468750e-04
-8.55390625e-09,2.90859375e-04
-8.51390625e-09,2.98828125e-04
-8.47390625e-09,2.88203125e-04
-8.43390625e-09,2.28437500e-04
-8.39390625e-09,1.32812500e-04
-8.35390625e-09,5.71093750e-05
-8.31390625e-09,4.78125000e-05
-8.27390625e-09,1.12890625e-04
-8.23390625e-09,2.11171875e-04
-8.19390625e-09,2.92187500e-04
-8.15390625e-09,3.38671875e-04
-8.11390625e-09,3.66562500e-04
-8.07390625e-09,3.93125000e-04
-8.03390625e-09,4.07734375e-04
-7.99390625e-09,3.78515625e-04
-7.95390625e-09,2.90859375e-04
-7.91390625e-09,1.73984375e-04
-7.87390625e-09,9.16406250e-05
-7.83390625e-09,8.36718750e-05
-7.79390625e-09,1.32812500e-04
-7.75390625e-09,1.76640625e-04
-7.71390625e-09,1.62031250e-04
-7.67390625e-09,1.02265625e-04
-7.63390625e-09,6.10937500e-05
-7.59390625e-09,9.96093750e-05
-7.55390625e-09,2.11171875e-04
-7.51390625e-09,3.22734375e-04
-7.47390625e-09,3.54609375e-04
-7.43390625e-09,3.00156250e-04
-7.39390625e-09,2.27109375e-04
-7.35390625e-09,2.20468750e-04
-7.31390625e-09,2.96171875e-04
-7.27390625e-09,3.89140625e-04
-7.23390625e-09,3.94453125e-04
-7.19390625e-09,2.74921875e-04
-7.15390625e-09,9.42968750e-05
-7.11390625e-09,-2.25781250e-05
-7.07390625e-09,1.06250000e-05
-7.03390625e-09,1.76640625e-04
-6.99390625e-09,3.59921875e-04
-6.95390625e-09,4.47578125e-04
-6.91390625e-09,4.09062500e-04
-6.87390625e-09,3.16093750e-04
-6.83390625e-09,2.68281250e-04
-6.79390625e-09,3.09453125e-04
-6.75390625e-09,3.86484375e-04
-6.71390625e-09,4.02421875e-04
-6.67390625e-09,2.97500000e-04
-6.63390625e-09,1.07578125e-04
-6.59390625e-09,-6.37500000e-05
-6.55390625e-09,-1.22187500e-04
-6.51390625e-09,-6.10937500e-05
-6.47390625e-09,3.98437500e-05
-6.43390625e-09,8.10156250e-05
-6.39390625e-09,2.52343750e-05
-6.35390625e-09,-7.43750000e-05
-6.31390625e-09,-1.15546875e-04
-6.27390625e-09,-3.58593750e-05
-6.23390625e-09,1.38125000e-04
-6.19390625e-09,3.08125000e-04
-6.15390625e-09,3.87812500e-04
-6.11390625e-09,3.67890625e-04
-6.07390625e-09,3.16093750e-04
-6.03390625e-09,3.09453125e-04
-5.99390625e-09,3.67890625e-04
-5.95390625e-09,4.31640625e-04
-5.91390625e-09,4.23671875e-04
-5.87390625e-09,3.34687500e-04
-5.83390625e-09,2.39062500e-04
-5.79390625e-09,2.43046875e-04
-5.75390625e-09,3.82500000e-04
-5.71390625e-09,5.75078125e-04
-5.67390625e-09,6.70703125e-04
-5.63390625e-09,5.69765625e-04
-5.59390625e-09,3.12109375e-04
-5.55390625e-09,5.71093750e-05
-5.51390625e-09,-3.58593750e-05
-5.47390625e-09,6.64062500e-05
-5.43390625e-09,2.51015625e-04
-5.39390625e-09,3.50625000e-04
-5.35390625e-09,2.81562500e-04
-5.31390625e-09,1.08906250e-04
-5.27390625e-09,-1.59375000e-05
-5.23390625e-09,1.85937500e-05
-5.19390625e-09,1.87265625e-04
-5.15390625e-09,3.58593750e-04
-5.11390625e-09,3.99765625e-04
-5.07390625e-09,2.84218750e-04
-5.03390625e-09,1.04921875e-04
-4.99390625e-09,-1.59375000e-05
-4.95390625e-09,-2.65625000e-05
-4.91390625e-09,2.92187500e-05
-4.87390625e-09,5.84375000e-05
-4.83390625e-09,1.72656250e-05
-4.79390625e-09,-5.57812500e-05
-4.75390625e-09,-8.23437500e-05
-4.71390625e-09,-2.12500000e-05
