Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,449.48828125,,Zero Index,449.48828125,,Zero Index,449.48828125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-1.79795312e-08,3.04687500e-04,2.01468750e-02,7.10937500e-05
-1.79395312e-08,3.87500000e-04,2.02256250e-02,8.20312500e-05
-1.78995312e-08,4.15625000e-04,2.03025000e-02,1.40625000e-04
-1.78595312e-08,3.75000000e-04,2.03462500e-02,1.69531250e-04
-1.78195313e-08,3.00000000e-04,2.03506250e-02,1.09375000e-04
-1.77795312e-08,2.29687500e-04,2.03268750e-02,-2.26562500e-05
-1.77395312e-08,1.67187500e-04,2.02906250e-02,-1.36718750e-04
-1.76995312e-08,8.75000000e-05,2.02575000e-02,-1.45312500e-04
-1.76595312e-08,-9.37500000e-06,2.02406250e-02,-3.75000000e-05
-1.76195312e-08,-7.50000000e-05,2.02500000e-02,1.03906250e-04
-1.75795312e-08,-2.96875000e-05,2.02800000e-02,1.67968750e-04
-1.75395313e-08,1.53125000e-04,2.03087500e-02,1.06250000e-04
-1.74995312e-08,4.09375000e-04,2.03081250e-02,-2.73437500e-05
-1.74595312e-08,5.96875000e-04,2.02693750e-02,-1.25000000e-04
-1.74195313e-08,6.04687500e-04,2.02150000e-02,-1.09375000e-04
-1.73795312e-08,4.40625000e-04,2.01937500e-02,7.81250000e-06
-1.73395312e-08,2.37500000e-04,2.02412500e-02,1.42187500e-04
-1.72995312e-08,1.68750000e-04,2.03512500e-02,2.07031250e-04
-1.72595312e-08,3.12500000e-04,2.04662500e-02,1.76562500e-04
-1.72195312e-08,5.92187500e-04,2.05125000e-02,8.90625000e-05
-1.71795312e-08,8.20312500e-04,2.04500000e-02,0.00000000e+00
-1.71395313e-08,8.39062500e-04,2.02993750e-02,-6.87500000e-05
-1.70995312e-08,6.28125000e-04,2.01343750e-02,-1.35156250e-04
-1.70595312e-08,3.31250000e-04,2.00356250e-02,-2.18750000e-04
-1.70195312e-08,1.45312500e-04,2.00450000e-02,-3.00781250e-04
-1.69795312e-08,1.82812500e-04,2.01462500e-02,-3.23437500e-04
-1.69395312e-08,3.90625000e-04,2.02812500e-02,-2.39843750e-04
-1.68995312e-08,5.92187500e-04,2.03812500e-02,-6.48437500e-05
-1.68595313e-08,6.29687500e-04,2.04012500e-02,1.18750000e-04
-1.68195312e-08,4.73437500e-04,2.03362500e-02,2.10937500e-04
