Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,80000,,Record Length,80000
Zero Index,10399.00390625,,Zero Index,10399.00390625
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-4.15960156e-07,-8.75000000e-05,1.57441250e-02
-4.15920156e-07,6.09375000e-05,1.57542187e-02
-4.15880156e-07,2.32812500e-04,1.56655000e-02
-4.15840156e-07,3.64062500e-04,1.55342813e-02
-4.15800156e-07,4.25000000e-04,1.54285625e-02
-4.15760156e-07,4.20312500e-04,1.53881875e-02
-4.15720156e-07,3.70312500e-04,1.54136875e-02
-4.15680156e-07,3.12500000e-04,1.54779688e-02
-4.15640156e-07,2.92187500e-04,1.55470313e-02
-4.15600156e-07,3.40625000e-04,1.55985625e-02
-4.15560156e-07,4.53125000e-04,1.56230000e-02
-4.15520156e-07,5.79687500e-04,1.56192813e-02
-4.15480156e-07,6.42187500e-04,1.55905938e-02
-4.15440156e-07,5.82812500e-04,1.55427813e-02
-4.15400156e-07,4.07812500e-04,1.54854063e-02
-4.15360156e-07,1.93750000e-04,1.54301563e-02
-4.15320156e-07,5.15625000e-05,1.53855313e-02
-4.15280156e-07,6.25000000e-05,1.53595000e-02
-4.15240156e-07,2.14062500e-04,1.53531250e-02
-4.15200156e-07,4.14062500e-04,1.53632188e-02
-4.15160156e-07,5.35937500e-04,1.53807500e-02
-4.15120156e-07,4.98437500e-04,1.53988125e-02
-4.15080156e-07,3.32812500e-04,1.54136875e-02
-4.15040156e-07,1.53125000e-04,1.54328125e-02
-4.15000156e-07,1.00000000e-04,1.54668125e-02
-4.14960156e-07,2.32812500e-04,1.55178125e-02
-4.14920156e-07,4.92187500e-04,1.55735938e-02
-4.14880156e-07,7.17187500e-04,1.56065313e-02
-4.14840156e-07,7.54687500e-04,1.55948438e-02
-4.14800156e-07,5.45312500e-04,1.55417188e-02
-4.14760156e-07,1.75000000e-04,1.54811563e-02
-4.14720156e-07,-1.82812500e-04,1.54577813e-02
-4.14680156e-07,-3.62500000e-04,1.54928438e-02
-4.14640156e-07,-3.06250000e-04,1.55656250e-02
-4.14600156e-07,-7.96875000e-05,1.56235313e-02
-4.14560156e-07,1.73437500e-04,1.56230000e-02
-4.14520156e-07,3.21875000e-04,1.55629688e-02
-4.14480156e-07,3.15625000e-04,1.54875313e-02
-4.14440156e-07,1.89062500e-04,1.54545938e-02
-4.14400156e-07,2.96875000e-05,1.54875313e-02
-4.14360156e-07,-7.50000000e-05,1.55603125e-02
-4.14320156e-07,-7.18750000e-05,1.56150313e-02
-4.14280156e-07,4.21875000e-05,1.56118437e-02
-4.14240156e-07,2.21875000e-04,1.55587188e-02
-4.14200156e-07,3.84375000e-04,1.55040000e-02
-4.14160156e-07,4.46875000e-04,1.54970938e-02
-4.14120156e-07,3.75000000e-04,1.55475625e-02
-4.14080156e-07,2.21875000e-04,1.56198125e-02
-4.14040156e-07,1.00000000e-04,1.56591250e-02
-4.14000156e-07,1.18750000e-04,1.56362813e-02
-4.13960156e-07,2.87500000e-04,1.55645625e-02
-4.13920156e-07,4.93750000e-04,1.54891250e-02
-4.13880156e-07,5.70312500e-04,1.54551250e-02
-4.13840156e-07,4.23437500e-04,1.54800937e-02
-4.13800156e-07,1.25000000e-04,1.55502188e-02
-4.13760156e-07,-1.25000000e-04,1.56309688e-02
-4.13720156e-07,-1.26562500e-04,1.56862188e-02
-4.13680156e-07,1.62500000e-04,1.56920625e-02
-4.13640156e-07,5.89062500e-04,1.56415938e-02
-4.13600156e-07,9.00000000e-04,1.55523438e-02
-4.13560156e-07,9.15625000e-04,1.54593750e-02
-4.13520156e-07,6.46875000e-04,1.54057188e-02
-4.13480156e-07,2.73437500e-04,1.54200625e-02
-4.13440156e-07,9.37500000e-06,1.54955000e-02
-4.13400156e-07,-2.81250000e-05,1.55895313e-02
-4.13360156e-07,1.21875000e-04,1.56437188e-02
-4.13320156e-07,3.31250000e-04,1.56208750e-02
-4.13280156e-07,4.78125000e-04,1.55289688e-02
-4.13240156e-07,5.17187500e-04,1.54205938e-02
-4.13200156e-07,4.81250000e-04,1.53589688e-02
-4.13160156e-07,4.18750000e-04,1.53770313e-02
-4.13120156e-07,3.57812500e-04,1.54503438e-02
